no,Ref,year,corbett,species,uid,pid,check,phyl.info,ott.uid,ott.pid,Habitat,par.path,invasive,Kingdom,Tax.grp,Group,newGroup,SubGroup,newSubGroup,newSubGroup2,newSubGroupClade,newSubGrp2,Class,Order,newOrder,Family,newFamily,het.a.chiasmy,F.map.length,M.map.length,F.M.ratio,Sexual.sys,Karyotype,Genotypic,Size.Mb,Cval,est.Gsize.Mb,combined.Gsize,chr.2n,chr1n,No.Ind,Marker.mapped,av.sex,MapLength.cM,MarkerInterval ,LinkageGrps,CM.length.est,RR_Mb.cM,CorrectedRR,RR,haplodiploid,Selfing,plant.LifeForm,RI_hap,RI_chiasma,RI_status,PlantGrowthForm,LeafType,LeafPhenology,PhotosyntheticPathway,Woodiness,LeafCompoundness,Total.spp,Dioe,Pollination
122,Xia,2010,n,Ctenopharyngodon_idella,1005936,1005942,y,Ctenopharyngodon_idella,ott1005936,ott1005942,Aquatic,n,y,Eukaryota,Opisthokonta ,Animals,Vert,Fishes,Fishes,Fishes,Fishes,Fishes,Actinopterygii,Cypriniformes,Cypriniformes,Cyprinidae,Cyprinidae,H,1149.4,888.8,1.29320432043204,gonochorous,H,MH,NA,1.02714285714286,1004.54571428571,1004.54571428571,48,24,192,263,n,1176.1,4.2,24,NA,0.868,NA,1.17077797782082,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,Diaz,2011,n,Cucumis_melo,1006256,1006254,y,Cucumis_melo,ott1006256,ott1006254,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Eudicots,Angiosperms,Superrosids,Superrosids,Fabids,Eudicots,Eudicots,Cucurbitales,Cucurbitales,Cucurbitaceae,Cucurbitaceae,NA,NA,NA,NA,monoecious,NA,NA,374.928,0.95,929.1,929.1,24,12,NA,1592,n,1150,0.72,12,NA,1.781,1.781,1.23775696910989,NA,both ,NA,12,NA,Domesticated,herb,broadleaved,NA,C3,non-woody,simple,66,25,insects
124,Corbet-Detig,2015,y,Cucumis_sativus,1006246,1006254,y,Cucumis_sativus,ott1006246,ott1006254,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Eudicots,Angiosperms,Superrosids,Superrosids,Fabids,Eudicots,Eudicots,Cucurbitales,Cucurbitales,Cucurbitaceae,Cucurbitaceae,NA,NA,NA,NA,monoecious,NA,NA,195.669,NA,195.669,195.669,14,7,NA,508,n,707.8,1.39330708661417,NA,NA,3.75161769961923,NA,3.61733335377602,NA,NA,NA,7,15.8,Domesticated,herb,broadleaved,NA,C3,non-woody,simple,66,25,insects
125,Zhu,2016,n,Cucumis_sativus,1006246,1006254,y,Cucumis_sativus,ott1006246,ott1006254,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Eudicots,Angiosperms,Superrosids,Superrosids,Fabids,Eudicots,Eudicots,Cucurbitales,Cucurbitales,Cucurbitaceae,Cucurbitaceae,NA,NA,NA,NA,monoecious,NA,NA,195.669,NA,195.669,195.669,14,7,153,7532,n,1061.19,0.35,7,NA,NA,NA,5.42339358815142,NA,NA,NA,7,15.8,Domesticated,herb,broadleaved,NA,C3,non-woody,simple,66,25,insects
126,Zhang,2015,n,Cucurbita_maxima,198660,379272,y,Cucurbita_maxima,ott198660,ott379272,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Eudicots,Angiosperms,Superrosids,Superrosids,Fabids,Eudicots,Eudicots,Cucurbitales,Cucurbitales,Cucurbitaceae,Cucurbitaceae,NA,NA,NA,NA,monoecious,NA,NA,NA,NA,449.88,449.88,40,20,188,458,n,2533.8,5.6,20,NA,NA,NA,5.63216857828754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,Gong,2008,n,Cucurbita_moschata,84409,379277,y,Cucurbita_moschata,ott84409,ott379277,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Eudicots,Angiosperms,Superrosids,Superrosids,Fabids,Eudicots,Eudicots,Cucurbitales,Cucurbitales,Cucurbitaceae,Cucurbitaceae,NA,NA,NA,NA,monoecious,NA,NA,NA,NA,420.54,420.54,40,20,94,659,n,1936,NA,20,NA,NA,NA,4.6036048889523,NA,NA,NA,NA,NA,NA,herb,broadleaved,NA,NA,non-woody,simple,NA,NA,NA
128,Montero-Pau,2017,n,Cucurbita_pepo,379282,379277,y,Cucurbita_pepo,ott379282,ott379277,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Eudicots,Angiosperms,Superrosids,Superrosids,Fabids,Eudicots,Eudicots,Cucurbitales,Cucurbitales,Cucurbitaceae,Cucurbitaceae,NA,NA,NA,NA,NA,NA,NA,NA,0.55,537.9,537.9,40,20,120,7718,n,2817.6,0.4,21,NA,3.601,3.601,5.23814835471277,NA,NA,NA,NA,NA,NA,herb,broadleaved,NA,C3,non-woody,simple,NA,NA,NA
129,Hickner,2013,n,Culex_pipiens,218684,795224,y,Culex_pipiens,ott218684,ott795224,Terrestrial,n,n,Eukaryota,Opisthokonta ,Animals,Invert,Insects,Insects,Insects,Insects,Insects,Insecta,Diptera,Diptera,Culicidae,Culicidae,NA,NA,NA,NA,gonochorous,NA,NA,NA,0.7,684.6,684.6,6,3,NA,61,n,189.9,NA,3,NA,NA,NA,0.277388255915863,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,Venkatesan,2009,n,Culex_tarsalis,204596,722347,y,Culex_tarsalis,ott204596,ott722347,Terrestrial,n,n,Eukaryota,Opisthokonta ,Animals,Invert,Insects,Insects,Insects,Insects,Insects,Insecta,Diptera,Diptera,Culicidae,Culicidae,NA,NA,NA,NA,gonochorous,XY,MH,NA,NA,NA,NA,6,3,120,31,n,510,NA,4,NA,NA,NA,#VALUE!,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,Hansson,2010,n,Cyanistes_caeruleus,746120,73150,y,Cyanistes_caeruleus,ott746120,ott73150,Terrestrial,n,n,Eukaryota,Opisthokonta ,Animals,Vert,Birds,Aves,Aves,Aves,Aves,Aves,Passeriformes,Passeriformes,Paridae,Paridae,NA,NA,NA,NA,gonochorous,ZW,FH,NA,1.47,1437.66,1437.66,78,39,525,98,n,935,5.5,18,NA,NA,NA,0.650362394446531,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,Portis,2009,n,Cynara_cardunculus,991885,991883,y,Cynara_cardunculus,ott991885,ott991883,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Eudicots,Angiosperms,Superasterids,Superasterids,Campanulids,Eudicots,Eudicots,Asterales,Asterales,Asteraceae,Asteraceae,H,1486.8,1015.5,1.46410635155096,NA,NA,NA,NA,1.1,1075.8,1075.8,34,17,NA,177,y,1251.15,NA,17,NA,1.232,1.232,1.16299498047964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,Harris-Shultz,2010,n,Cynodon_dactylon,927435,596405,y,Cynodon_dactylon,ott927435,ott596405,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Monocots,Angiosperms,Commelinid,Commelinid,Commelinid,Monocots,Monocots,Poales,Poales,Poaceae,Poaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,1110.03,1110.03,18,9,118,36,n,311.1,NA,8,NA,NA,NA,0.280262695602822,NA,NA,NA,NA,NA,NA,graminoid,broadleaved,NA,C4,non-woody,simple,NA,NA,NA
134,Harris-Shultz,2010,n,Cynodon_dactylon,927435,596405,y,Cynodon_dactylon,ott927435,ott596405,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Monocots,Angiosperms,Commelinid,Commelinid,Commelinid,Monocots,Monocots,Poales,Poales,Poaceae,Poaceae,NA,NA,NA,NA,hermaphrodite,NA,NA,NA,NA,1110.03,1110.03,36,18,118,125,n,1055,NA,26,NA,NA,NA,0.950424763294686,NA,NA,NA,NA,NA,NA,graminoid,broadleaved,NA,C4,non-woody,simple,NA,NA,NA
135,Corbet-Detig,2015,y,Cynoglossus_semilaevis,906506,888011,y,Cynoglossus_semilaevis,ott906506,ott888011,Aquatic,n,n,Eukaryota,Opisthokonta ,Animals,Vert,Fishes,Fishes,Fishes,Fishes,Fishes,Actinopterygii,Pleuronectiformes,Pleuronectiformes,Cynoglossidae,Cynoglossidae,H,1447.3,1497.5,0.966477462437396,gonochorous,ZW,FH,606.36,NA,606.36,606.36,42,21,NA,352,n,1620.4,4.60340909090909,NA,NA,4.25500500215174,NA,2.67233986410713,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,Song,2012,n,Cynoglossus_semilaevis,906506,888011,y,Cynoglossus_semilaevis,ott906506,ott888011,Aquatic,n,n,Eukaryota,Opisthokonta ,Animals,Vert,Fishes,Fishes,Fishes,Fishes,Fishes,Actinopterygii,Pleuronectiformes,Pleuronectiformes,Cynoglossidae,Cynoglossidae,NA,NA,NA,NA,gonochorous,ZW,FH,NA,NA,606.36,606.36,42,21,94,1007,n,1624,NA,21,NA,NA,NA,2.67827693119599,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,Zhao,2013,n,Cyprinus_carpio,429083,429094,y,Cyprinus_carpio,ott429083,ott429094,Aquatic,n,y,Eukaryota,Opisthokonta ,Animals,Vert,Fishes,Fishes,Fishes,Fishes,Fishes,Actinopterygii,Cypriniformes,Cypriniformes,Cyprinidae,Cyprinidae,NA,NA,NA,NA,gonochorous,XY,MH,NA,2.03,1741.9158,1741.9158,100,50,107,1209,n,3565.9,NA,50,NA,NA,NA,2.04711387312751,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,Zhao,2016,n,Dactylis_glomerata,83469,83473,y,Dactylis_glomerata,ott83469,ott83473,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Monocots,Angiosperms,Commelinid,Commelinid,Commelinid,Monocots,Monocots,Poales,Poales,Poaceae,Poaceae,NA,NA,NA,NA,hermaphrodite,NA,NA,NA,NA,4303.2,4303.2,14,7,NA,2510,n,715.77,0.37,7,NA,NA,NA,0.166334355828221,NA,NA,NA,NA,NA,NA,graminoid,broadleaved,NA,C3,non-woody,simple,NA,NA,NA
139,Corbet-Detig,2015,y,Danio_rerio,1005914,1005927,y,Danio_rerio,ott1005914,ott1005927,Aquatic,n,n,Eukaryota,Opisthokonta ,Animals,Vert,Fishes,Fishes,Fishes,Fishes,Fishes,Actinopterygii,Cypriniformes,Cypriniformes,Cyprinidae,Cyprinidae,NA,NA,NA,NA,gonochorous,H,NA,1713.945,2.28,1817.124,1817.124,50,25,NA,1706,n,2177.363,1.27629718640094,NA,NA,1.6137816789211,NA,1.19824678998241,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,Bradley,2011,n,Danio_rerio,1005914,1005927,y,Danio_rerio,ott1005914,ott1005927,Aquatic,n,n,Eukaryota,Opisthokonta ,Animals,Vert,Fishes,Fishes,Fishes,Fishes,Fishes,Actinopterygii,Cypriniformes,Cypriniformes,Cyprinidae,Cyprinidae,NA,NA,NA,NA,gonochorous,H,NA,1713.945,2.28,1817.124,1817.124,50,25,NA,3966,n,2177.363,NA,25,NA,NA,NA,1.19824678998241,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,Dukic,2016,n,Daphnia_magna,668392,59084,y,Daphnia_magna,ott668392,ott59084,Aquatic,n,n,Eukaryota,Opisthokonta ,Animals,Invert,Crustaceans,Crustaceans,Crustaceans,Crustaceans,Crustaceans,Branchiopoda,Cladocera,Cladocera,Daphtniidae,Daphtniidae,NA,NA,NA,NA,parthenogenic,NA,NA,129.543,NA,NA,129.543,20,10,NA,4037,n,1614.5,NA,10,NA,6.78,NA,12.4630431594142,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,Cristescu,2006,n,Daphnia_pulex,59086,59084,y,Daphnia_pulex,ott59086,ott59084,Aquatic,n,n,Eukaryota,Opisthokonta ,Animals,Invert,Crustaceans,Crustaceans,Crustaceans,Crustaceans,Crustaceans,Branchiopoda,Cladocera,Cladocera,Daphtniidae,Daphtniidae,NA,NA,NA,NA,parthenogenic,NA,NA,197.206,NA,NA,197.206,24,12,129,115,n,1206,7,12,NA,NA,NA,6.1154325933288,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,Cavagnaro,2014,n,Daucus_carota,372836,6054299,y,Daucus_carota,ott372836,ott6054299,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Eudicots,Angiosperms,Superasterids,Superasterids,Campanulids,Eudicots,Eudicots,Apiales,OtherEudicots,Apiaceae,OtherEudicots,NA,NA,NA,NA,hermaphrodite,NA,NA,421.539,1,421.539,421.539,18,9,187,894,n,635.1,1.3,9,NA,0.567,0.567,1.50662216307388,NA,SC,NA,9,16.2,Domesticated,herb,broadleaved,NA,C3,non-woody,compound,NA,NA,NA
144,Lu,2012,n,Dendrobium_moniliforme,171951,868270,y,Dendrobium_moniliforme,ott171951,ott868270,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Monocots,Angiosperms,Lilioid,Lilioid.Alismatid,Lilioid,Monocots,Monocots,Asparagales,Asparagales,Orchidaceae,Orchidaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,19,NA,165,n,1127.9,10.25,17,1541.81,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,Feng,2013,n,Dendrobium_nobile,508208,868270,y,Dendrobium_nobile,ott508208,ott868270,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Monocots,Angiosperms,Lilioid,Lilioid.Alismatid,Lilioid,Monocots,Monocots,Asparagales,Asparagales,Orchidaceae,Orchidaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,19,90,116,n,1474,14.75,15,1916.41,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,Lu,2012,n,Dendrobium_officinale,293900,868270,y,Dendrobium_aphyllum,ott293900,ott868270,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Monocots,Angiosperms,Lilioid,Lilioid.Alismatid,Lilioid,Monocots,Monocots,Asparagales,Asparagales,Orchidaceae,Orchidaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,19,NA,169,n,1210.9,10.44,19,1687.52,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,Yagi,2013,n,Dianthus_caryophyllus,842200,317820,y,Dianthus_caryophyllus,ott842200,ott317820,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Eudicots,Angiosperms,Superasterids,Superasterids,Superasterids,Eudicots,Eudicots,Caryophyllales,Caryophyllales,Caryophyllaceae,Caryophyllaceae,NA,NA,NA,NA,NA,NA,NA,567.662,NA,616.14,616.14,30,15,NA,348,n,978.3,NA,15,NA,NA,NA,1.58778848962898,NA,NA,NA,NA,NA,NA,herb,broadleaved,NA,C3,non-woody,simple,NA,NA,NA
148,Chistiakov,2008,n,Dicentrarchus_labrax,3549,21246,y,Dicentrarchus_labrax,ott3549,ott21246,Aquatic,n,n,Eukaryota,Opisthokonta ,Animals,Vert,Fishes,Fishes,Fishes,Fishes,Fishes,Actinopterygii,Perciformes,Perciformes,Moronidae,Moronidae,H,1380,1049,1.31553860819828,NA,NA,NA,675.917,0.78,762.84,762.84,48,24,NA,368,n,1373.1,3.67,35,NA,NA,NA,1.79998426930942,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,Laborda,2012,n,Drosophila_mediopunctata,327730,243247,y,Drosophila_mediopunctata,ott327730,ott243247,Terrestrial,n,n,Eukaryota,Opisthokonta ,Animals,Invert,Insects,Insects,Insects,Insects,Insects,Insecta,Diptera,Diptera,Drosophilidae,Drosophilidae,A,NA,NA,NA,gonochorous,XY,MH,NA,NA,NA,NA,10,5,800,49,n,453.8,9.5,5,NA,NA,NA,#VALUE!,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,Corbet-Detig,2015,y,Drosophila_melanogaster,505714,863009,y,Drosophila_melanogaster,ott505714,ott863009,Terrestrial,n,n,Eukaryota,Opisthokonta ,Animals,Invert,Insects,Insects,Insects,Insects,Insects,Insecta,Diptera,Diptera,Drosophilidae,Drosophilidae,A,NA,NA,NA,gonochorous,XY,MH,176.04,0.171818181818182,168.038181818182,168.038181818182,8,4,NA,969,n,105.46085,0.108834726522188,NA,NA,1.09452095074309,NA,0.627600518280477,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,Corbet-Detig,2015,y,Drosophila_pseudoobscura,1082272,863001,y,Drosophila_pseudoobscura,ott1082272,ott863001,Terrestrial,n,n,Eukaryota,Opisthokonta ,Animals,Invert,Insects,Insects,Insects,Insects,Insects,Insecta,Diptera,Diptera,Drosophilidae,Drosophilidae,A,NA,NA,NA,gonochorous,XY,MH,159.74,0.163333333333333,159.74,159.74,8,4,NA,141,n,53.520111655,0.379575259964539,NA,NA,1.77697896857476,NA,0.335045146206336,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,Stocker,2012,n,Drosophila_serrata,86632,518604,y,Drosophila_serrata,ott86632,ott518604,Terrestrial,n,n,Eukaryota,Opisthokonta ,Animals,Invert,Insects,Insects,Insects,Insects,Insects,Insecta,Diptera,Diptera,Drosophilidae,Drosophilidae,A,NA,NA,NA,gonochorous,XY,MH,NA,0.21,205.38,205.38,8,4,417,58,n,245.3,NA,4,NA,NA,NA,1.19437140909534,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,Heesch,2010,n,Ectocarpus_siliculosus,878345,48626,y,Ectocarpus_siliculosus,ott878345,ott48626,Aquatic,n,n,Eukaryota,Chromalveolata,SAR,SAR,Heterokonta,SAR,SAR,SAR,SAR,Phaeophyceae,Ectocarpales,OtherSAR,Ectocarpaceae,OtherSAR,NA,NA,NA,NA,NA,NA,NA,195.811,NA,195.811,195.811,68,34,NA,406,n,2459.3,NA,34,NA,NA,NA,12.559559983862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,Blake,2011,n,Eimeria_maxima,775254,775249,y,Eimeria_maxima,ott775254,ott775249,Animals,y,n,Eukaryota,Chromalveolata,SAR,SAR,Conoidasida,SAR,SAR,SAR,SAR,Conoidasida,Eucoccidiorida,Eucoccidiorida,Eimeriidae,Eimeriidae,NA,NA,NA,NA,NA,NA,NA,45.9751,NA,45.9751,45.9751,28,14,NA,647,n,2883.9,7.1,13,NA,NA,NA,62.7274328930225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,Shirley,2000,n,Eimeria_tenella,775246,775249,y,Eimeria_tenella,ott775246,ott775249,Animals,y,n,Eukaryota,Chromalveolata,SAR,SAR,Conoidasida,SAR,SAR,SAR,SAR,Conoidasida,Eucoccidiorida,Eucoccidiorida,Eimeriidae,Eimeriidae,NA,NA,NA,NA,NA,NA,NA,51.8944,NA,51.8944,51.8944,24,12,NA,443,n,653,NA,16,NA,NA,NA,12.5832459764445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,Ting,2016,n,Elaeis_guineensis,947656,891126,n,Elaeis_guineensis,ott947656,ott891126,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Monocots,Angiosperms,Commelinid,Commelinid,Commelinid,Monocots,Monocots,Arecales,Arecales,Arecaceae,Arecaceae,NA,NA,NA,NA,monoecious,NA,NA,1535.18,1,1535.18,1535.18,32,16,118,1755,n,1499.5,0.9,16,NA,8.539,8.539,0.976758425722065,NA,NA,NA,NA,NA,NA,tree,broadleaved,evergreen,C3,woody,compound,NA,NA,NA
157,Montoya,2013,n,Elaeis_oleifera,210313,891126,y,Elaeis_oleifera,ott210313,ott891126,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Monocots,Angiosperms,Commelinid,Lilioid.Alismatid,Commelinid,Monocots,Monocots,Arecales,Arecales,Arecaceae,Arecaceae,NA,NA,NA,NA,NA,NA,NA,1402.73,NA,1402.73,1402.73,32,16,NA,362,n,1485,NA,16,NA,NA,NA,1.05864991837346,NA,NA,NA,NA,NA,NA,tree,broadleaved,evergreen,C3,woody,compound,NA,NA,NA
158,Mott,2011,n,Elymus_lanceolatus,173152,605366,y,Elymus_lanceolatus,ott173152,ott605366,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Monocots,Angiosperms,Commelinid,Commelinid,Commelinid,Monocots,Monocots,Poales,Poales,Poaceae,Poaceae,NA,NA,NA,NA,NA,NA,NA,NA,8.43,8244.54,8244.54,28,14,387,515,n,2574,NA,14,NA,NA,NA,0.312206624020261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,Dor,2014,n,Epinephelus_aeneus,306171,457801,y,Epinephelus_aeneus,ott306171,ott457801,Aquatic,n,n,Eukaryota,Opisthokonta ,Animals,Vert,Fishes,Fishes,Fishes,Fishes,Fishes,Actinopterygii,Perciformes,Perciformes,Serranidae,Serranidae,H,1053,886,1.18848758465011,hermaphrodite,NA,NA,NA,1.1,1075.8,1075.8,48,24,48,222,y,969.5,5.8,24,NA,NA,NA,0.901189812232757,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,Kessuwan,2016,n,Epinephelus_bruneus,876088,457801,y,Epinephelus_bruneus,ott876088,ott457801,Aquatic,n,n,Eukaryota,Opisthokonta ,Animals,Vert,Fishes,Fishes,Fishes,Fishes,Fishes,Actinopterygii,Perciformes,Perciformes,Serranidae,Serranidae,H,1475.95,1370.39,1.0770291668795,hermaphrodite,NA,NA,NA,NA,NA,NA,48,24,NA,714,y,1423.17,4.1,24,NA,NA,NA,#VALUE!,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,You,2013,n,Epinephelus_coioides,457795,457801,y,Epinephelus_coioides,ott457795,ott457801,Aquatic,n,n,Eukaryota,Opisthokonta ,Animals,Vert,Fishes,Fishes,Fishes,Fishes,Fishes,Actinopterygii,Perciformes,Perciformes,Serranidae,Serranidae,H,1370.9,1335.5,1.02650692624485,hermaphrodite,NA,NA,NA,NA,NA,NA,48,24,NA,4608,n,1582.7,0.34,24,NA,NA,NA,#VALUE!,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,Corbet-Detig,2015,y,Equus_caballus,1068218,94003,y,Equus_caballus,ott1068218,ott94003,Terrestrial,n,y,Eukaryota,Opisthokonta ,Animals,Vert,Mammals,Mammals,Mammals,Mammals,Mammals,Mammalia,Perissodactyla,OtherMammal,Equidae,Equidae,NA,NA,NA,NA,gonochorous,XY,NA,3117.864,3.22,3149.16,3149.16,64,32,NA,409,n,2692.1,6.58215158924205,NA,NA,1.40991304778554,NA,0.854862884070673,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,Swinburne,2006,n,Equus_caballus,1068218,94003,y,Equus_caballus,ott1068218,ott94003,Terrestrial,n,y,Eukaryota,Opisthokonta ,Animals,Vert,Mammals,Mammals,Mammals,Mammals,Mammals,Mammalia,Perissodactyla,OtherMammal,Equidae,Equidae,NA,NA,NA,NA,gonochorous,XY,NA,2474.93,3.22,3149.16,3149.16,64,32,61,742,n,2772,3.7,32,NA,NA,NA,0.880234729261136,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,Zeid,2011,n,Eragrostis_tef,1094963,587232,y,Eragrostis_tef,ott1094963,ott587232,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Monocots,Angiosperms,Commelinid,Commelinid,Commelinid,Monocots,Monocots,Poales,Poales,Poaceae,Poaceae,NA,NA,NA,NA,NA,NA,NA,607.318,NA,665.04,665.04,40,20,151,NA,n,1277.4,5.7,30,NA,NA,NA,1.92078671959581,NA,NA,NA,NA,NA,NA,graminoid,broadleaved,NA,C4,non-woody,simple,NA,NA,NA
165,Zheng,2013,n,Eremochloa_ophiuroides,843929,449630,y,Eremochloa_ophiuroides,ott843929,ott449630,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Monocots,Angiosperms,Commelinid,Commelinid,Commelinid,Monocots,Monocots,Poales,Poales,Poaceae,Poaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,811.74,811.74,18,9,86,89,n,623.6,7.1,10,NA,NA,NA,0.768226279350531,NA,NA,NA,NA,NA,NA,graminoid,broadleaved,NA,C4,non-woody,simple,NA,NA,NA
166,Fukuda,2016,n,Eriobotrya_japonica,207983,155169,y,Eriobotrya_japonica,ott207983,ott155169,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Eudicots,Angiosperms,Superrosids,Superrosids,Fabids,Eudicots,Eudicots,Rosales,Rosales,Rosaceae,Rosaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.84,762.84,34,17,NA,308,n,1036,NA,19,NA,NA,NA,1.35808295317498,NA,NA,NA,NA,NA,NA,tree,broadleaved,evergreen,C3,woody,simple,NA,NA,NA
167,Cui,2015,n,Eriocheir_sinensis,566723,566716,y,Eriocheir_sinensis,ott566723,ott566716,Aquatic,n,n,Eukaryota,Opisthokonta ,Animals,Invert,Crustaceans,Crustaceans,Crustaceans,Crustaceans,Crustaceans,Malacostraca,Decapoda,Decapoda,Varunidae,OtherCrust.,H,4338.3,4392.7,0.987615817151183,gonochorous,ZW,MH,NA,NA,1680,1680,146,73,120,10358,n,5125.53,0.79,73,NA,3.09,NA,3.05091071428571,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,RONDEAU,2014,n,Esox_lucius,739941,216166,y,Esox_lucius,ott739941,ott216166,Aquatic,n,y,Eukaryota,Opisthokonta ,Animals,Vert,Fishes,Fishes,Fishes,Fishes,Fishes,Actinopterygii,Esociformes,OtherFishes,Esocidae,OtherFishes,H,1245.4,1160,1.07362068965517,gonochorous,NA,NA,904.497,1.4,1095.36,1095.36,50,25,92,180,n,1289.3,NA,25,NA,NA,NA,1.17705594507742,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,Agrama,2002,n,Eucalyptus_camaldulensis,505234,1015498,y,Eucalyptus_camaldulensis,ott505234,ott1015498,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Eudicots,Angiosperms,Superrosids,Superrosids,Fabids,Eudicots,Eudicots,Myrtales,Myrtales,Myrtaceae,Myrtaceae,NA,NA,NA,NA,NA,NA,NA,654.922,NA,606.36,606.36,22,11,92,168,n,1236,NA,11,NA,NA,NA,2.03839303384128,NA,SC,NA,NA,NA,NA,tree,broadleaved,evergreen,C3,woody,simple,NA,NA,NA
170,Gion,2016,n,Eucalyptus_globulus,847929,1015498,y,Eucalyptus_globulus,ott847929,ott1015498,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Eudicots,Angiosperms,Superrosids,Superrosids,Fabids,Eudicots,Eudicots,Myrtales,Myrtales,Myrtaceae,Myrtaceae,H,1587,1453,1.09222298692361,NA,NA,NA,NA,0.579959100204499,552.4722,552.4722,22,11,180,NA,y,1520,NA,11,NA,1.289,1.289,2.75126965664517,NA,both,NA,NA,NA,NA,tree,broadleaved,evergreen,C3,woody,simple,NA,NA,NA
