no,Ref,year,corbett,species,uid,pid,check,phyl.info,ott.uid,ott.pid,Habitat,par.path,invasive,Kingdom,Tax.grp,Group,newGroup,SubGroup,newSubGroup,newSubGroup2,newSubGroupClade,newSubGrp2,Class,Order,newOrder,Family,newFamily,het.a.chiasmy,F.map.length,M.map.length,F.M.ratio,Sexual.sys,Karyotype,Genotypic,Size.Mb,Cval,est.Gsize.Mb,combined.Gsize,chr.2n,chr1n,No.Ind,Marker.mapped,av.sex,MapLength.cM,MarkerInterval ,LinkageGrps,CM.length.est,RR_Mb.cM,CorrectedRR,RR,haplodiploid,Selfing,plant.LifeForm,RI_hap,RI_chiasma,RI_status,PlantGrowthForm,LeafType,LeafPhenology,PhotosyntheticPathway,Woodiness,LeafCompoundness,Total.spp,Dioe,Pollination
11,Edae,2017,n,Aegilops_umbellulata,790374,267024,y,Aegilops_umbellulata,ott790374,ott267024,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Monocots,Angiosperms,Commelinid,Commelinid,Commelinid,Monocots,Monocots,Poales,Poales,Poaceae,Poaceae,NA,NA,NA,NA,NA,NA,NA,NA,5.05,4938.9,4938.9,14,7,140,3009,n,948.72,0.3,7,NA,NA,NA,0.192091356374901,n,SC,NA,NA,NA,NA,graminoid,broadleaved,NA,NA,non-woody,simple,NA,NA,NA
12,Foulogne-Oriol,2010,n,Agaricus_bisporus,564405,737448,y,Agaricus_bisporus,ott564405,ott737448,Terrestrial,n,n,Eukaryota,Opisthokonta ,Fungi,Fungi,Basidiomycota,Fungi,Fungi,Fungi,Fungi,Agaricomycetes,Agaricales,Agaricales,Agaricaceae,Agaricaceae,NA,NA,NA,NA,NA,H,NA,30.2337,NA,30.2337,30.2337,26,13,NA,231,n,1156,3.9,13,NA,NA,NA,38.235478952295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Foulogne-Oriol,2016,n,Agaricus_subrufescens,583561,737448,y,Agaricus_subrufescens,ott583561,ott737448,Terrestrial,n,n,Eukaryota,Opisthokonta ,Fungi,Fungi,Basidiomycota,Fungi,Fungi,Fungi,Fungi,Agaricomycetes,Agaricales,Agaricales,Agaricaceae,Agaricaceae,NA,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,202,n,1701,8.2,16,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Rotter,2009,n,Agrostis_capillaris,550221,765663,y,Agrostis_capillaris,ott550221,ott765663,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Monocots,Angiosperms,Commelinid,Commelinid,Commelinid,Monocots,Monocots,Poales,Poales,Poaceae,Poaceae,NA,NA,NA,NA,hermaphrodite,NA,NA,NA,NA,4000.02,4000.02,28,14,93,212,n,1156,NA,14,NA,NA,NA,0.288998555007225,NA,NA,NA,NA,NA,NA,graminoid,broadleaved,NA,C3,non-woody,simple,NA,NA,NA
15,Honig,2014,n,Agrostis_stolonifera,307879,765663,y,Agrostis_stolonifera,ott307879,ott765663,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Monocots,Angiosperms,Commelinid,Commelinid,Commelinid,Monocots,Monocots,Poales,Poales,Poaceae,Poaceae,NA,NA,NA,NA,hermaphrodite,NA,NA,NA,NA,3423,3423,28,14,95,385,n,1424,NA,14,NA,NA,NA,0.416009348524686,NA,NA,NA,NA,NA,NA,graminoid,broadleaved,NA,C3,non-woody,simple,NA,NA,NA
16,Baldwin,2012,n,Allium_cepa,781600,781603,y,Allium_cepa,ott781600,ott781603,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Monocots,Angiosperms,Lilioid,Lilioid.Alismatid,Lilioid,Monocots,Monocots,Asparagales,Asparagales,Amaryllidaceae,Amaryllidaceae,NA,NA,NA,NA,hermaphrodite,NA,SC,NA,NA,16381.5,16381.5,18,9,92,93,n,808,7.5,8,NA,NA,NA,0.0493239324848152,NA,NA,NA,8,22.4,Domesticated,herb,broadleaved,NA,C3,non-woody,simple,NA,NA,NA
17,Tsukazaki,2012,n,Allium_fistulosum,856720,781603,y,Allium_fistulosum,ott856720,ott781603,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Monocots,Angiosperms,Lilioid,Lilioid.Alismatid,Lilioid,Monocots,Monocots,Asparagales,Asparagales,Amaryllidaceae,Amaryllidaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,12254.34,12254.34,16,8,119,268,n,1670,NA,17,NA,NA,NA,0.136278249175394,NA,NA,NA,8,16.81,Domesticated,herb,broadleaved,evergreen,C3,non-woody,simple,NA,NA,NA
18,Maughan,2011,n,Amaranthus_hybridus,317810,317808,y,Amaranthus_hybridus,ott317810,ott317808,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Eudicots,Angiosperms,Superasterids,Superasterids,Superasterids,Eudicots,Eudicots,Caryophyllales,Caryophyllales,Amaranthaceae,Amaranthaceae,NA,NA,NA,NA,hermaphrodite,NA,NA,NA,0.63,616.14,616.14,32,16,134,411,n,1288,3.1,16,NA,NA,NA,2.09043399227448,NA,SI,NA,NA,NA,Cultivated,NA,broadleaved,NA,NA,non-woody,NA,60,45,wind
19,Smith,2005,n,Ambystoma_tigrinum,135594,1092552,y,Ambystoma_tigrinum,ott135594,ott1092552,Aquatic,n,n,Eukaryota,Opisthokonta ,Animals,Vert,Amphibia,Amphibia.Reptile,Amphibia.Reptile,Amphibia.Reptile,Amphibia.Reptile,Amphibia,Caudata,OtherAR,Ambystomatidae,OtherAR,NA,NA,NA,NA,gonochorous,H,FH,NA,NA,30875.46,30875.46,28,14,NA,790,n,5251.3,7.96,14,NA,NA,NA,0.170080057106842,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Recknagel,2013,n,Amphilophus_astorquii,513777,358050,y,Amphilophus_astorquii,ott513777,ott358050,Aquatic,n,n,Eukaryota,Opisthokonta ,Animals,Vert,Fishes,Fishes,Fishes,Fishes,Fishes,Actinopterygii,Perciformes,Perciformes,Cichlidae,Cichlidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,24,343,755,n,1427,1.95,25,NA,NA,NA,#VALUE!,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,vanderNest,2009,n,Amylostereum_areolatum,1016450,293461,y,Amylostereum_areolatum,ott1016450,ott293461,Plants,y,n,Eukaryota,Opisthokonta ,Fungi,Fungi,Basidiomycota,Fungi,Fungi,Fungi,Fungi,Agaricomycetes,Russulales,Russulales,Amylostereaceae,OtherBasido.,NA,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,80,204,n,1693,7.2,14,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,deSousa,2013,n,Ananas_comosus,627039,627043,y,Ananas_comosus,ott627039,ott627043,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Monocots,Angiosperms,Commelinid,Commelinid,Commelinid,Monocots,Monocots,Poales,Poales,Bromeliaceae,OtherMonocots,NA,NA,NA,NA,hermaphrodite,NA,NA,381.896,0.55,537.9,537.9,50,25,NA,741,n,2113,2.67,28,NA,7.624,7.624,3.92823944971184,NA,SI,NA,NA,NA,NA,herb,broadleaved,evergreen,CAM,non-woody,simple,NA,NA,NA
23,Huang,2009,n,Anas_platyrhynchos,765167,765185,y,Anas_platyrhynchos,ott765167,ott765185,Terrestrial,n,y,Eukaryota,Opisthokonta ,Animals,Vert,Birds,Aves,Aves,Aves,Aves,Aves,Anseriformes,OtherAves,Anatidae,OtherAves,NA,NA,NA,NA,gonochorous,ZW,FH,1105.05,1.40666666666667,1375.72,1375.72,80,40,766,260,n,1766,7.75,32,NA,NA,NA,1.28369144884133,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Kai,2014,n,Anguilla_japonica,854198,854195,y,Anguilla_japonica,ott854198,ott854195,Aquatic,n,n,Eukaryota,Opisthokonta ,Animals,Vert,Fishes,Fishes,Fishes,Fishes,Fishes,Actinopterygii,Anguilliformes,OtherFishes,Anguillidae,OtherFishes,H,1527,1346,1.13447251114413,gonochorous,ZW,FH,1151.14,NA,1151.14,1151.14,38,19,NA,2787,y,1436.5,1.65,19,NA,NA,NA,1.24789339263686,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Wondji,2007,n,Anopheles_funestus,286257,286290,y,Anopheles_funestus,ott286257,ott286290,Terrestrial,n,n,Eukaryota,Opisthokonta ,Animals,Invert,Insects,Insects,Insects,Insects,Insects,Insecta,Diptera,Diptera,Culicidae,Culicidae,NA,NA,NA,NA,gonochorous,NA,NA,225.224,NA,225.224,225.224,6,3,349,56,n,145,2.7,3,NA,NA,NA,0.643803502291053,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Corbet-Detig,2015,y,Anopheles_gambiae,553555,36636,y,Anopheles_gambiae,ott553555,ott36636,Terrestrial,n,n,Eukaryota,Opisthokonta ,Animals,Invert,Insects,Insects,Insects,Insects,Insects,Insecta,Diptera,Diptera,Culicidae,Culicidae,NA,NA,NA,NA,gonochorous,XO,MH,264.06,0.27,264.06,264.06,6,3,NA,38,n,166.1,4.37105263157895,NA,NA,0.836531543000713,NA,0.629023706733318,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Rondeau,2013,n,Anoplopoma_fimbria,441856,967647,y,Anoplopoma_fimbria,ott441856,ott967647,Aquatic,n,n,Eukaryota,Opisthokonta ,Animals,Vert,Fishes,Fishes,Fishes,Fishes,Fishes,Actinopterygii,Scorpaeniformes,OtherFishes,Anoplopomatidae,OtherFishes,H,1610,860.4,1.87122268712227,NA,NA,NA,699.326,0.84,757.95,757.95,48,24,NA,360,n,1332.8,NA,24,NA,NA,NA,1.75842733689557,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Venkat,2014,n,Anthurium_andreanum,3999674,1049799,y,Anthurium_longicaudatum ,ott3999674,ott1049799,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Monocots,Angiosperms,Alismatid,Lilioid.Alismatid,Alismatid,Monocots,Monocots,Alismatales,OtherMonocots,Araceae,Araceae,NA,NA,NA,NA,NA,NA,NA,NA,4.8,4694.4,4694.4,30,15,43,78,n,1023.5,NA,12,1584.5,NA,NA,0.218025732788003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Venkat,2014,n,Anthurium_ornatum,3999684,1049799,y,Anthurium_punctatum,ott3999684,ott1049799,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Monocots,Angiosperms,Alismatid,Lilioid.Alismatid,Alismatid,Monocots,Monocots,Alismatales,OtherMonocots,Araceae,Araceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,15,43,85,n,1233.5,NA,10,1395.5,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Shi,2013,n,Apis_cerana,625771,52851,y,Apis_cerana,ott625771,ott52851,Terrestrial,n,n,Eukaryota,Opisthokonta ,Animals,Invert,Insects,Insects,Insects,Insects,Insects,Insecta,Hymenoptera,Hymenoptera,Apidae,Apidae,NA,NA,NA,NA,male.haploid,NA,NA,228.332,0.19,185.82,185.82,32,16,103,1535,n,574.5,2.6,19,NA,17.4,NA,3.09170164675492,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Corbet-Detig,2015,y,Apis_mellifera,461645,52851,y,Apis_mellifera,ott461645,ott52851,Terrestrial,n,y,Eukaryota,Opisthokonta ,Animals,Invert,Insects,Insects,Insects,Insects,Insects,Insecta,Hymenoptera,Hymenoptera,Apidae,Apidae,NA,NA,NA,NA,male.haploid,NA,NA,249.39,0.235,229.83,229.83,32,16,NA,1163,n,2145,1.84436801375752,NA,NA,9.88665072477654,NA,9.33298524996737,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Wilfert,2007,n,Apis_mellifera,461645,52851,y,Apis_mellifera,ott461645,ott52851,Terrestrial,n,y,Eukaryota,Opisthokonta ,Animals,Invert,Insects,Insects,Insects,Insects,Insects,Insecta,Hymenoptera,Hymenoptera,Apidae,Apidae,NA,NA,NA,NA,male.haploid,NA,NA,249.39,0.235,229.83,229.83,32,16,NA,2008,n,4115,2.05,16,NA,16,NA,17.9045381368838,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Tian,2015,n,Apostichopus_japonicus,721060,956276,y,Apostichopus_japonicus,ott721060,ott956276,Aquatic,n,n,Eukaryota,Opisthokonta ,Animals,Invert,Echinoderm,OtherAnimals,OtherAnimals,OtherAnimals,OtherAnimals,Holothuroidae,Aspidochirotida,OtherInvert,Stichopodidae,OtherInvert,H,3728.9,1824.3,2.04401688318807,gonochorous,NA,NA,664.37,NA,664.37,664.37,44,22,NA,7839,n,3706.6,0.47,22,NA,0.129,NA,5.57912006863645,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Willems,2007,n,Arabidopsis_halleri,152273,309275,y,Arabidopsis_halleri,ott152273,ott309275,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Eudicots,Angiosperms,Superrosids,Superrosids,Malvids,Eudicots,Eudicots,Brassicales,Brassicales,Brassicaceae,Brassicaceae,NA,NA,NA,NA,NA,NA,NA,196.243,NA,234.72,234.72,16,8,196,85,n,567,6.6,8,NA,NA,NA,2.41564417177914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
