Ref,year,species,speciesOTT,Group,par.path,Genome.Size.Mb,HCN,MapLength.cM,Sexual.sys,Ref.number,RR.cM.Mb
Diao,2016,Nasonia_giraulti,Nasonia_giraulti_ott729592,Animals,n,283.607,5,620,male.haploid,217,2.186123756
Zhang,2014,Nelumbo_lutea,Nelumbo_lutea_ott532278,Plants,n,948.66,8,494.3,NA,218,0.521050745
Liu,2016,Nelumbo_nucifera,Nelumbo_nucifera_ott532288,Plants,n,234.72,8,581.3,NA,219,2.476567825
Zhang,2012,Nicotiana_langsdorffii,Nicotiana_langsdorffii_ott733968,Plants,n,4254.3,9,1062,NA,220,0.249629786
Gong,2016,Nicotiana_tabacum,Nicotiana_tabacum_ott222787,Plants,n,5066.04,24,2662.43,NA,221,0.525544607
Jairin,2013,Nilaparvata_lugens,Nilaparvata_lugens_ott876508,Animals,n,1140.79,15,1093.3,gonochorous,222,0.958370953
Kirschner,2012,Nothobranchius_furzeri,Nothobranchius_furzeri_ott513643,Animals,n,1242.52,19,1965,NA,223,1.581463477
Ipek,2016,Olea_europaea,Olea_europaea_ott23729,Plants,n,1907.1,23,3049,NA,224,1.598762519
McClelland,2008,Oncorhynchus_kisutch,Oncorhynchus_kisutch_ott739917,Animals,n,2767.74,30,358.55,gonochorous,225,0.129546128
Guyomard,2012,Oncorhynchus_mykiss,Oncorhynchus_mykiss_ott5256670,Animals,n,2592.678,29,3600,gonochorous,226,1.388525687
Larson,2016,Oncorhynchus_nerka,Oncorhynchus_nerka_ott165375,Animals,n,2858.694,29,3186.5,NA,227,1.114669846
McKinney,2016,Oncorhynchus_tshawytscha,Oncorhynchus_tshawytscha_ott730762,Animals,n,2709.06,34,3119.7,gonochorous,228,1.151580253
Liu,2013,Oreochromis_mossambicus,Oreochromis_mossambicus_ott288069,Animals,n,978,22,1067.6,NA,229,1.091615542
Kocher,1998,Oreochromis_niloticus,Oreochromis_niloticus_ott288063,Animals,n,1058.196,22,704,gonochorous,230,0.66528318
Sternstein,2015,Oryctolagus_cuniculus,Oryctolagus_cuniculus_ott864596,Animals,n,3107.245714,22,1419,gonochorous,231,0.456674538
Luo,2016,Oryza_rufipogon,Oryza_rufipogon_ott135756,Plants,n,449.88,12,1596.8,NA,232,3.549390949
DeLeon,2016,Oryza_sativa,Oryza_sativa_ott709894,Plants,n,489,12,1650,NA,233,3.374233129
Harrang,2015,Ostrea_edulis,Ostrea_edulis_ott1033104,Animals,n,1144.26,10,536.4,NA,234,0.468774579
Johnston,2017,Ovis_aries,Ovis_aries_ott70819,Animals,n,2941.824,27,3304,gonochorous,235,1.123112736
Poissant,2010,Ovis_canadensis,Ovis_canadensis_ott123206,Animals,n,2590.55,27,3051,gonochorous,236,1.177742178
Liu,2012,Panicum_virgatum,Panicum_virgatum_ott205619,Plants,n,1792.674,18,2085.2,NA,237,1.163178581
Winter,2010,Papilio_glaucus,Papilio_glaucus_ott947948,Animals,n,430.32,28,1167,gonochorous,238,2.711935304
Rogers,2006,Papio_hamadryas,Papio_hamadryas_ott115463,Animals,n,3457.23,20,2354,gonochorous,239,0.680891928
Song,2012,Paralichthys_olivaceus,Paralichthys_olivaceus_ott883392,Animals,n,694.38,24,1695.15,gonochorous,240,2.441242547
vanOers,2014,Parus_major,Parus_major_ott515143,Animals,n,1476.78,32,1916.82,gonochorous,241,1.297972616
Wang,2017,Patinopecten_yessoensis,Mizuhopecten_yessoensis_ott6370603,Animals,n,1437.66,19,1918.65,NA,242,1.334564501
Baranski,2014,Penaeus_monodon,Penaeus_monodon_ott212713,Animals,n,2170,44,3488.5,gonochorous,243,1.607603687
Punnuri,2016,Pennisetum_glaucum,Pennisetum_schweinfurthii_ott1027230,Plants,n,2621.04,7,716.7,NA,244,0.273441077
Kenney-Hunt,2014,Peromyscus_maniculatus,Peromyscus_maniculatus_ott377525,Animals,n,4264.08,24,1499,gonochorous,245,0.351541247
Borrone,2009,Persea_americana,Persea_americana_ott913249,Plants,n,909.54,12,1087.4,NA,246,1.195549399
Bossolini,2011,Petunia_axillaris,Petunia_axillaris_ott232467,Plants,n,1369.2,7,970,NA,247,0.708442886
Malkus,2009,Phaeosphaeria_nodorum,Phaeosphaeria_nodorum_ott5346507,Fungi,y,37.1,17,1932.1,NA,248,52.07816712
Gutierrez,2011,Phalloceros_caudimaculatus,Phalloceros_caudimaculatus_ott808637,Animals,n,700,24,1477,NA,249,2.11
Song,2015,Phaseolus_vulgaris,Phaseolus_vulgaris_ott825707,Plants,n,586.8,11,1042.2,NA,250,1.77607362
Mathew,2014,Phoenix_dactylifera,Phoenix_dactylifera_ott789008,Plants,n,929.1,18,1293,NA,251,1.391669357
Kamisugi,2008,Physcomitrella_patens,Physcomitrella_patens_ott821359,Plants,n,477.948,27,4410,NA,252,9.226945191
vanderLee,2004,Phytophthora_infestans,Phytophthora_infestans_ott775725,SAR,y,240,9,1091,NA,253,4.545833333
Lind,2014,Picea_abies,Picea_abies_ott517943,Plants,n,18190.8,12,1889.2,NA,254,0.103854696
Friesline,2015,Pinus_balfouriana,Pinus_balfouriana_ott1044480,Plants,n,29281.32,12,1572.8,NA,255,0.053713425
Yang,2013,Pinus_elliottii,Pinus_elliottii_ott245809,Plants,n,22787.4,12,1036.3,NA,256,0.045476886
Chen,2010,Pinus_koraiensis,Pinus_koraiensis_ott830806,Plants,n,27579.6,12,857.46,NA,257,0.031090371
Jermstad,2011,Pinus_lambertiana,Pinus_lambertiana_ott568626,Plants,n,27602.7,12,1231,NA,258,0.044597087
Chen,2014,Pinus_massoniana,Pinus_massoniana_ott714296,Plants,n,25134.6,12,1956,NA,259,0.077821012
Chancerel,2013,Pinus_pinaster,Pinus_pinaster_ott837883,Plants,n,23814.3,12,1708,NA,260,0.071721613
Moraga-Suazo,2014,Pinus_radiata,Pinus_radiata_ott568644,Plants,n,21936.54,12,1060,NA,261,0.048321203
Westbrook,2015,Pinus_taeda,Pinus_taeda_ott1075736,Plants,n,21516,12,2305,NA,262,0.107129578
Boutet,2016,Pisum_sativum,Pinus_thunbergii_ott1075728,Plants,n,4772.64,7,1255,NA,263,0.262957189
Martinello,2005,Plasmodium_chabaudi,Plasmodium_chabaudi_ott724404,SAR,y,18.8678,14,1676,NA,264,88.82858627
Jiang,2011,Plasmodium_falciparum,Plasmodium_falciparum_ott201128,SAR,y,23.2703,14,2514,NA,265,108.0347052
Tripathi,2009,Poecilia_reticulata,Poecilia_reticulata_ott312452,Animals,n,865.53,23,899,gonochorous,266,1.038669948
Sirvio,2011,Pogonomyrmex_rugosus,Pogonomyrmex_rugosus_ott1042743,Animals,n,255,16,2823,male.haploid,267,11.07058824
Wang,2010,Populus_adenopoda,Populus_adenopoda_ott5763644,Plants,n,508.56,19,2178.5,NA,268,4.283663678
Paolucci,2010,Populus_alba,Populus_alba_ott1030862,Plants,n,508.56,19,3027.1,NA,269,5.952296681
Mousavi,2016,Populus_deltoides,Populus_deltoides_ott8867,Plants,n,500,19,4067.16,NA,270,8.13432
Gaudet,2008,Populus_nigra,Populus_nigra_ott8848,Plants,n,514.0368,19,2278.5,NA,271,4.432562027
Pakull,2009,Populus_tremula,Populus_tremula_ott839584,Plants,n,469.44,19,1542.35,NA,272,3.285510395
Liu,2012,Portunus_trituberculatus,Portunus_trituberculatus_ott718120,Animals,n,2259.18,53,3519.45,gonochorous,273,1.557843996
Feng,2016,Primulina_eburnea,Primulina_eburnea_ott5264953,Plants,n,1985.34,18,3774.7,NA,274,1.90128643
Srinivasan,2002,Pristionchus_pacificus,Pristionchus_pacificus_ott197875,Animals,n,133.114,6,338.6,NA,275,2.543684361
Lalli,2008,Prunus_armeniaca,Prunus_armeniaca_ott217632,Plants,n,293.4,8,522.69,NA,276,1.781492843
Wang,2015,Prunus_avium,Prunus_avium_ott162547,Plants,n,342.3,8,849,NA,277,2.480280456
Tavassolian,2010,Prunus_dulcis,Prunus_dulcis_ott731568,Plants,n,240,8,591.4,NA,278,2.464166667
Cao,2011,Prunus_kansuensis,Prunus_kansuensis_ott1020749,Plants,n,293.4,8,616,NA,279,2.099522836
Zhang,2015,Prunus_mume,Prunus_mume_ott426562,Plants,n,234.03,8,1550.62,NA,280,6.625731744
Nunez-Lillo,2015,Prunus_persica,Prunus_persica_ott259054,Plants,n,273.84,8,389.2,NA,281,1.421267894
Arango_Isaza,2016,Pseudocercospora_fijiensis,Pseudocercospora_eucalypticola_ott4073293,Fungi,y,74.1412,12,1416,NA,282,19.09869276
Harel-Beja,2015,Punica_granatum,Punica_granatum_ott646814,Plants,n,704.16,8,1141,NA,283,1.62037037
Wu,2014,Pyrus_communis,Pyrus_communis_ott972654,Plants,n,537.9,17,2243.4,NA,284,4.170663692
Bodenes,2016,Quercus_,Pyrus_ussuriensis_ott116277,Plants,n,909.5,12,742,NA,285,0.815832875
Cano,2011,Rana_temporaria,Rana_temporaria_ott14718,Animals,n,4169.21,13,1698.8,gonochorous,286,0.407463284
Mun,2015,Raphanus_sativus,Raphanus_sativus_ott359073,Plants,n,978,9,1538,NA,287,1.572597137
Steen,1999,Rattus_norvegicus,Rattus_norvegicus_ott271555,Animals,n,3286.08,22,1503,gonochorous,288,0.457383874
Schlipallus,2002,Rhyzopertha_dominica,Rhyzopertha_dominica_ott633644,Animals,n,476,9,390.1,NA,289,0.819537815
Rukam,2016,Ricinus_communis,Ricinus_communis_ott339346,Plants,n,508.56,10,1551,NA,290,3.049787636
Ward,2013,Rubus_idaeus,Rubus_idaeus_ott156929,Plants,n,311.982,7,462.7,NA,291,1.483098384
Bushakra,2012,Rubus_occidentalis,Rubus_occidentalis_ott670811,Plants,n,293.4,7,309,NA,292,1.053169734
Nie,2017,Ruditapes_philippinarum,Ruditapes_philippinarum_ott913666,Animals,n,1967,19,1926.98,NA,293,0.979654296
Zhang,2015,Saccharina_japonica,Saccharina_japonica_ott246789,SAR,n,543.426,31,1782.75,NA,294,3.28057546
Tsai,2016,Salmo_salar,Salmo_salar_ott688328,Animals,n,3048.426,29,5961,gonochorous,295,1.955435362
Leitwein,2017,Salmo_trutta,Salmo_trutta_ott688332,Animals,n,2875.32,40,1403,gonochorous,296,0.48794569
Liu,2016,Salvia_miltiorrhiza,Salvia_miltiorrhiza_ott847543,Plants,n,615,8,1516,NA,297,2.46504065
Criscione,2009,Schistosoma_mansoni,Schistosoma_mansoni_ott191483,Animals,y,364.538,8,1134.84,gonochorous,298,3.113091091
Hollenbeck,2015,Sciaenops_ocellatus,Sciaenops_ocellatus_ott433079,Animals,n,381.42,24,1815.3,NA,299,4.759320434
Shen,2014,Scleropages_formosus,Scleropages_formosus_ott335717,Animals,n,777.359,22,2218.3,gonochorous,300,2.853636479
Wang,2015,Scophthalmus_maximus,Scophthalmus_maximus_ott778695,Animals,n,841.08,22,2622.09,NA,301,3.117527465
Ma,2016,Scylla_paramamosain,Scylla_paramamosain_ott1084541,Animals,n,1603.92,44,2746.4,gonochorous,302,1.712304853
Milczarski,2015,Secale_cereale,Secale_cereale_ott553015,Plants,n,8097.84,7,1593,NA,303,0.196719125
Aoki,2015,Seriola_quinqueradiata,Seriola_quinqueradiata_ott186469,Animals,n,811.74,24,1128.595,NA,304,1.390340503
Zhang,2016,Sesamum_indicum,Sesamum_indicum_ott504628,Plants,n,948.66,16,2981.28,NA,305,3.142622225
Fang,2016,Setaria_italica,Setaria_italica_ott553005,Plants,n,518.34,9,1318.8,NA,306,2.544275958
Bergero,2013,Silene_latifolia,Silene_latifolia_ott609504,Plants,n,2640.6,12,671.1,NA,307,0.254146785
Javidfar,2013,Sinapis_alba,Sinapis_alba_ott359058,Plants,n,489,12,890.4,NA,308,1.820858896
Viquez-Zamora,2014,Solanum_lycopersicum,Solanum_lycopersicum_ott378964,Plants,n,823.786,12,1297.3,NA,309,1.574802194
Fukuoka,2012,Solanum_melongena,Solanum_melongena_ott494843,Plants,n,958.44,12,1285.5,NA,310,1.341242018
vandenOever-vandenElsen,2016,Solanum_pennellii,Solanum_pennellii_ott1069768,Plants,n,926.426,12,789.7,NA,311,0.852415627
Chen,2014,Solanum_pimpinellifolium,Solanum_pimpinellifolium_ott797186,Plants,n,688.247,12,1567.5,NA,312,2.277525365
Endelman,2016,Solanum_tuberosum,Solanum_tuberosum_ott494835,Plants,n,860.64,12,883,NA,313,1.025980666
Ji,2017,Sorghum_bicolor,Sorghum_bicolor_ott552986,Plants,n,1188.27,10,2158,NA,314,1.81608557
Palaiokostas,2016,Sparus_aurata,Sparus_aurata_ott760723,Animals,n,929.1,24,3899,hermaphrodite,315,4.19653428
Chan-Navarrete,2016,Spinacia_oleracea,Spinacia_oleracea_ott317784,Plants,n,1007.3,6,433.6,NA,316,0.430457659
Nemetschke,2010,Strongyloides_ratti,Strongyloides_ratti_ott1040287,Animals,y,43.1502,3,90.2,parthenogenic,317,2.090372698
Tortereau,2012,Sus_scrofa,Sus_scrofa_ott730013,Animals,n,2922.264,20,2012,gonochorous,318,0.688507267
Backstrom,2010,Taeniopygia_guttata,Taeniopygia_guttata_ott708327,Animals,n,1222.5,35,1479,gonochorous,319,1.209815951
Kai,2005,Takifugu_rubripes,Takifugu_rubripes_ott65341,Animals,n,391.2,22,1696.3,gonochorous,320,4.336145194
Arias,2016,Taraxacum_koksaghyz,Taraxacum_kok_saghyz_ott843397,Plants,n,1420,8,894.1,NA,321,0.629647887
Royaert,2016,Theobroma_cacao,Theobroma_cacao_ott388185,Plants,n,420.5,10,852.8,NA,322,2.028061831
Uchino,2016,Thunnus_orientalis,Thunnus_orientalis_ott833202,Animals,n,800,24,1162.6,gonochorous,323,1.45325
Foley,2011,Tigriopus_californicus,Tigriopus_californicus_ott461524,Animals,n,244.5,12,401,gonochorous,324,1.6400818
Lorenzen,2005,Tribolium_castaneum,Tribolium_castaneum_ott148904,Animals,n,202.935,10,571,gonochorous,325,2.813708823
Yezerski,2003,Tribolium_confusum,Tribolium_echinatum_ott677520,Animals,n,245,8,968,gonochorous,326,3.951020408
Laurent,1998,Trichogramma_brassicae,Trichogramma_brassicae_ott137951,Animals,y,246,5,1330,male.haploid,327,5.406504065
Hirakawa,2016,Trifolium_pratense,Trifolium_pratense_ott839027,Plants,n,528.12,7,2084,NA,328,3.946072862
Griffiths,2013,Trifolium_repens,Trifolium_repens_ott116218,Plants,n,1095.36,16,1274,NA,329,1.163087935
Ghamkhar,2012,Trifolium_subterraneum,Trifolium_subterraneum_ott539553,Plants,n,547.68,8,1701.7,NA,330,3.107106339
Zhai,2016,Triticum_aestivum,Triticum_aestivum_ott31926,Plants,n,16948.74,21,2875.3,NA,331,0.169646829
MacLeod,2005,Trypanosoma_brucei,Trypanosoma_brucei_ott494245,SAR,y,22.1481,11,1157.5,NA,332,52.2618193
Shan,2015,Undaria_pinnatifida,Undaria_pinnatifida_ott616561,SAR,n,560,30,1816.28,NA,333,3.243357143
McCallum,2016,Vaccinium_corymbosum,Vaccinium_corymbosum_ott567253,Plants,n,655.26,12,1621,NA,334,2.473827183
Covarrubias-Pazaran,2016,Vaccinium_macrocarpon,Vaccinium_macrocarpon_ott295602,Plants,n,414.622,12,1112,NA,335,2.681960919
Lepers-Andrzejewski,2012,Vanilla_tahitensis,Vanilla_tahitensis_ott1064791,Plants,n,5603.94,13,1035.85,NA,336,0.184843164
Sirvio,2011,Vespula_vulgaris,Vespula_vulgaris_ott52839,Animals,n,219.8,25,2129,male.haploid,337,9.686078253
Kaur,2014,Vicia_faba,Vicia_faba_ott539544,Plants,n,17622.582,6,1216.8,NA,338,0.069047771
Liu,2016,Vigna_angularis,Vigna_angularis_ott1065959,Plants,n,537.9,11,1628.15,NA,339,3.026863729
Gupta,2008,Vigna_mungo,Vigna_mungo_ott1065954,Plants,n,537.9,11,865.1,NA,340,1.608291504
Wang,2016,Vigna_radiata,Vigna_radiata_ott806245,Plants,n,894.87,11,732.9,NA,341,0.819001643
Kongjaimun,2012,Vigna_unguiculata,Vigna_unguiculata_ott1065941,Plants,n,586.8,11,852.4,NA,342,1.452624404
Marubodee,2015,Vigna_vexillata,Vigna_vexillata_ott581960,Plants,n,567.24,11,973.9,NA,343,1.71690995
Liu,2013,Vitis_amurensis,Vitis_amurensis_ott805071,Plants,n,489,19,1123,NA,344,2.296523517
Zhang,2009,Vitis_cinerea,Vitis_cinerea_ott314458,Plants,n,489,19,1155.98,NA,345,2.36396728
Guo,2015,Vitis_vinifera,Vitis_vinifera_ott756728,Plants,n,446.946,19,1929.13,NA,346,4.316248495
Wells,2011,Xenopus_tropicalis,Xenopus_tropicalis_ott940184,Animals,n,1440.4,10,1668,gonochorous,347,1.158011663
Amores,2014,Xiphophorus_maculatus,Xiphophorus_maculatus_ott416852,Animals,n,885.09,24,1328.3,gonochorous,348,1.500751336
Zhou,2016,Zea_mays,Zea_mays_ott605194,Plants,n,2669.9,10,1545.65,NA,349,0.578916813
Zhang,2016,Ziziphus_jujuba,Ziziphus_jujuba_ott73483,Plants,n,437.754,12,1456.53,NA,350,3.327279705
Wang,2015,Zoysia_japonica,Zoysia_japonica_ott586007,Plants,n,420.54,20,1337.2,NA,351,3.179721311
Huang,2016,Zoysia_matrella,Zoysia_matrella_ott205630,Plants,n,563.439,20,1824.95,NA,352,3.238948671
Lendenmann,2014,Zymoseptoria_tritici,Zymoseptoria_tritici_ott906425,Fungi,y,39.6863,21,4255.4,NA,353,107.2259193
