genome_size_id,ott_id,species_name,genome_size_mb,c_value_pg,method,source_column,source,note,used_in_maps,flag_unverified
GS0020,ott1092552,Ambystoma tigrinum,30875.46,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0021,ott627039,Ananas comosus,381.896,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0022,ott627039,Ananas comosus,537.9,0.55,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0023,ott765167,Anas platyrhynchos,1105.05,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0024,ott765167,Anas platyrhynchos,1375.72,1.40666666666667,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0025,ott854198,Anguilla japonica,1151.14,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0026,ott854198,Anguilla japonica,1151.14,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0027,ott286257,Anopheles funestus,225.224,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0028,ott286257,Anopheles funestus,225.224,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0029,ott553555,Anopheles gambiae,264.06,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0030,ott553555,Anopheles gambiae,264.06,0.27,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0031,ott441856,Anoplopoma fimbria,699.326,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0032,ott441856,Anoplopoma fimbria,757.95,0.84,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0033,ott319626,Anthurium andreanum,4694.4,4.8,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0034,ott625771,Apis cerana,228.332,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0035,ott625771,Apis cerana,185.82,0.19,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0036,ott461645,Apis mellifera,249.39,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0037,ott461645,Apis mellifera,229.83,0.235,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0038,ott721060,Apostichopus japonicus,664.37,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0039,ott721060,Apostichopus japonicus,664.37,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0040,ott152273,Arabidopsis halleri,196.243,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0041,ott152273,Arabidopsis halleri,234.72,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
